ID,sample.type,particle.number,analyzer,size.fraction,shape,colour,length,on.tape,notes,raman.ID
HPPT4,Plankton tows,#162,NP,150-250,fragment,blue,69.71,no,tiny**,
HPPT4,Plankton tows,#163,NP,150-250,fragment,blue,81.85,no,tiny**,
HPPT4,Plankton tows,105,NP,150-250,fragment,blue,124.38,yes,,Plastics Dye
HPPT4,Plankton tows,#164,NP,150-250,fragment,blue,42.19,no,tiny**,
HPPT4,Plankton tows,#165,NP,150-250,fragment,blue,32.1,no,tiny**,
HPPT4,Plankton tows,#166,NP,150-250,fragment,blue,44.49,no,tiny**,
HPPT4,Plankton tows,#167,NP,150-250,fragment,blue,60.81,no,tiny**,
HPPT4,Plankton tows,106,NP,150-250,fibre,black,523.19,yes,,Polyester
HPPT4,Plankton tows,#168,NP,150-250,fragment,blue,53.75,no,tiny**,
HPPT4,Plankton tows,#169,NP,150-250,fragment,blue,94.63,no,tiny**,
HPPT4,Plankton tows,#170,NP,150-250,fragment,blue,43.65,no,tiny**,
HPPT4,Plankton tows,#171,NP,150-250,fragment,blue,43.91,no,tiny**,
HPPT4,Plankton tows,#172,NP,150-250,fragment,blue,43.04,no,tiny**,
HPPT4,Plankton tows,#173,NP,150-250,fragment,blue,49.44,no,tiny**,
HPPT4,Plankton tows,#174,NP,150-250,fragment,blue,48.4,no,tiny**,
HPPT4,Plankton tows,#175,NP,150-250,fragment,blue,76.54,no,tiny**,
HPPT4,Plankton tows,#176,NP,150-250,fragment,blue,82.48,no,tiny**,
HPPT4,Plankton tows,#177,NP,150-250,fragment,blue,56.43,no,tiny**,
HPPT4,Plankton tows,107,NP,150-250,fragment,blue,115.73,yes,,
HPPT4,Plankton tows,#178,NP,150-250,fragment,blue,36.62,no,tiny**,
HPPT4,Plankton tows,#179,NP,150-250,fragment,blue,35.4,no,tiny**,
HPPT4,Plankton tows,#180,NP,150-250,fragment,blue,63.97,no,tiny**,
HPPT4,Plankton tows,#181,NP,150-250,fragment,blue,23.67,no,tiny**,
HPPT4,Plankton tows,#182,NP,150-250,fragment,blue,41.14,no,tiny**,
HPPT4,Plankton tows,#183,NP,150-250,fragment,blue,62.79,no,tiny**,
HPPT4,Plankton tows,#184,NP,150-250,fragment,blue,94.24,no,tiny**,
HPPT4,Plankton tows,#185,NP,150-250,fragment,blue,77.43,no,tiny**,
HPPT4,Plankton tows,#186,NP,150-250,fragment,blue,66.45,no,tiny**,
HPPT4,Plankton tows,#187,NP,150-250,fragment,blue,77.59,no,tiny**,
HPPT4,Plankton tows,#188,NP,150-250,fragment,blue,44.1,no,tiny**,
HPPT4,Plankton tows,108,NP,150-250,fibre,red,996.38,yes,,Polyester
HPPT4,Plankton tows,#189,NP,150-250,fragment,blue,92.4,no,tiny**,
HPPT4,Plankton tows,#190,NP,150-250,fragment,blue,62.37,no,tiny**,
HPPT4,Plankton tows,#191,NP,150-250,fragment,blue,23.91,no,tiny**,
HPPT4,Plankton tows,#192,NP,150-250,fragment,blue,47.07,no,tiny**,
HPPT4,Plankton tows,109,NP,150-250,fibre,red,927.32,yes,,Polyester
HPPT4,Plankton tows,#193,NP,150-250,fragment,blue,68.48,no,tiny**,
HPPT4,Plankton tows,#194,NP,150-250,fragment,red,94.61,no,tiny**,
HPPT5,Plankton tows,110,NP,150-250,fibre,black,360.14,yes,,Polyester
HPPT5,Plankton tows,111,NP,150-250,fragment,blue,234.46,yes,,
HPPT5,Plankton tows,#195,NP,150-250,fragment,blue,40.27,no,tiny**,
HPPT5,Plankton tows,#196,NP,150-250,fragment,blue,78.09,no,tiny**,
HPPT5,Plankton tows,#197,NP,150-250,fragment,blue,26.82,no,tiny**,
HPPT5,Plankton tows,112,NP,150-250,fibre,red,852.93,yes,,Polyester
HPPT5,Plankton tows,#198,NP,150-250,fragment,blue,32.53,no,tiny**,
HPPT5,Plankton tows,#199,NP,150-250,fragment,blue,83.31,no,tiny**,
HPPT5,Plankton tows,#200,NP,150-250,fragment,blue,28.42,no,tiny**,
HPPT5,Plankton tows,#201,NP,150-250,fragment,blue,82.34,no,tiny**,
HPPT5,Plankton tows,113,NP,150-250,fibre,blue,959.67,yes,Too much fluorescence to get a good Raman signature,Unknown
HPPT5,Plankton tows,114,NP,150-250,fragment,clear,804.28,yes,,Plastics Additive
HPPT5,Plankton tows,#202,NP,150-250,fragment,blue,94.61,no,tiny**,
EBPTPB1,Blanks,#203,NP,150-250,fragment,blue,26.48,no,tiny**,
EBPTPB1,Blanks,#204,NP,150-250,fragment,blue,41.83,no,tiny**,
EBPTPB1,Blanks,#205,NP,150-250,fragment,blue,36.36,no,tiny**,
EBPTPB1,Blanks,#206,NP,150-250,fragment,blue,22.69,no,tiny**,
EBPTPB1,Blanks,#207,NP,150-250,fragment,blue,33.41,no,tiny**,
EBPTPB1,Blanks,#208,NP,150-250,fragment,blue,78.61,no,tiny**,
EBPTPB1,Blanks,#209,NP,150-250,fragment,blue,41.6,no,tiny**,
EBPTPB1,Blanks,#210,NP,150-250,fragment,blue,84.65,no,tiny**,
EBPTPB1,Blanks,115,NP,150-250,fibre,blue,1218.2,yes,,Cellulose
EBPTPB1,Blanks,#211,NP,150-250,fragment,blue,45.2,no,tiny**,
EBPTPB1,Blanks,#212,NP,150-250,fragment,blue,21.63,no,tiny**,
EBPTPB1,Blanks,#213,NP,150-250,fragment,blue,72.79,no,tiny**,
EBPTPB2,Blanks,#214,NP,150-250,fragment,blue,113.01,no,dropped,
EBPTPB2,Blanks,116,NP,150-250,fibre,black,378.83,yes,,Polyester
EBPTPB2,Blanks,#215,NP,150-250,fragment,blue,30.42,no,tiny**,
EBPTPB2,Blanks,117,NP,150-250,fragment,blue,321.28,yes,,
EBPTPB2,Blanks,#216,NP,150-250,fragment,blue,28.79,no,tiny**,
EBPTPB3,Blanks,#217,NP,150-250,fragment,blue,24.04,no,tiny**,
EBPTPB3,Blanks,#218,NP,150-250,fragment,blue,61.22,no,tiny**,
EBPTPB3,Blanks,#219,NP,150-250,fragment,blue,41.66,no,tiny**,
EBPTPB3,Blanks,#220,NP,150-250,fragment,blue,52.93,no,tiny**,
EBPT1,Plankton tows,#221,NP,150-250,fragment,blue,74.25,no,tiny**,
EBPT1,Plankton tows,#222,NP,150-250,fragment,blue,89.48,no,tiny**,
EBPT1,Plankton tows,#223,NP,150-250,fragment,blue,70.85,no,tiny**,
EBPT1,Plankton tows,#224,NP,150-250,fragment,blue,83.67,no,tiny**,
